"Date","Category","Usage","ResCount","SubCount"
"2022-07-24T06:00:01Z","AppInsights","21.6","2339","84"
"2022-07-24T06:00:01Z","EventHub","39.54","10427","188"
"2022-07-24T06:00:01Z","Directories","44.23","12416","696"
"2022-07-24T06:00:01Z","DiagnosticInfrastructureLogs","87.1","21775","3190"
"2022-07-24T06:00:01Z","Metrics","94.97","26672","3182"
"2022-07-24T06:00:01Z","Performance","96.92","27447","3260"
"2022-07-17T06:00:01Z","DockerSources","0","0","0"
"2022-07-17T06:00:01Z","EtwProviders","0.52","467","31"
"2022-07-17T06:00:01Z","Logs","3.65","1096","176"
"2022-07-17T06:00:01Z","BlobStorage","3.14","2597","67"
"2022-07-17T06:00:01Z","CrashDumps","0.55","491","39"
"2022-07-17T06:00:01Z","TableStorage","99.92","24827","3356"
"2022-07-17T06:00:01Z","WindowsEventLogs","98.97","24388","3294"
"2022-07-17T06:00:01Z","DiagnosticInfrastructureLogs","96.83","22926","3215"
"2022-07-17T06:00:01Z","Performance","81.99","20850","3188"
"2022-07-17T06:00:01Z","Metrics","80.6","19935","3114"
"2022-07-17T06:00:01Z","Directories","63.58","10535","695"
"2022-07-17T06:00:01Z","EventHub","62.39","10150","225"
"2022-07-17T06:00:01Z","AppInsights","37.69","2080","80"
"2022-07-10T06:00:01Z","WindowsEventLogs","98.68","25604","3279"
"2022-07-10T06:00:01Z","TableStorage","99.3","25665","3336"
"2022-07-10T06:00:01Z","Directories","54.69","12907","698"
"2022-07-10T06:00:01Z","Metrics","63.64","20940","3102"
"2022-07-10T06:00:01Z","CrashDumps","0.74","510","47"
"2022-07-10T06:00:01Z","DiagnosticInfrastructureLogs","92.24","21507","3218"
"2022-07-10T06:00:01Z","Performance","66.02","22152","3182"
"2022-07-10T06:00:01Z","DockerSources","0","0","0"
"2022-07-10T06:00:01Z","EtwProviders","0.56","394","25"
"2022-07-10T06:00:01Z","Logs","4.73","1118","192"
"2022-07-10T06:00:01Z","BlobStorage","5.78","2980","79"
"2022-07-10T06:00:01Z","AppInsights","7.97","1848","93"
"2022-07-10T06:00:01Z","EventHub","49.21","9252","222"
"2022-07-03T06:00:01Z","WindowsEventLogs","99.04","21518","3139"
"2022-07-03T06:00:01Z","EventHub","54.65","9775","213"
"2022-07-03T06:00:01Z","Directories","57.08","9940","730"
"2022-07-03T06:00:01Z","Performance","63.17","18333","3054"
"2022-07-03T06:00:01Z","DiagnosticInfrastructureLogs","97.03","20750","3067"
"2022-07-03T06:00:01Z","DockerSources","0","0","0"
"2022-07-03T06:00:01Z","TableStorage","99.87","21871","3190"
"2022-07-03T06:00:01Z","EtwProviders","0.75","474","32"
"2022-07-03T06:00:01Z","Metrics","61.61","17559","2990"
"2022-07-03T06:00:01Z","CrashDumps","0.82","519","38"
"2022-07-03T06:00:01Z","Logs","4.66","1052","183"
"2022-07-03T06:00:01Z","BlobStorage","6.37","3141","73"
"2022-07-03T06:00:01Z","AppInsights","7.41","1366","81"
"2022-06-26T06:00:01Z","EventHub","51.5","8992","214"
"2022-06-26T06:00:01Z","Metrics","61.31","18316","3343"
"2022-06-26T06:00:01Z","Performance","63.03","19218","3420"
"2022-06-26T06:00:01Z","DiagnosticInfrastructureLogs","95.41","21090","3424"
"2022-06-26T06:00:01Z","WindowsEventLogs","98.8","22808","3504"
"2022-06-26T06:00:01Z","TableStorage","99.89","23248","3570"
"2022-06-26T06:00:01Z","Directories","57.84","10895","696"
"2022-06-26T06:00:01Z","DockerSources","0.02","7","1"
"2022-06-26T06:00:01Z","EtwProviders","0.7","473","40"
"2022-06-26T06:00:01Z","CrashDumps","0.77","532","47"
"2022-06-26T06:00:01Z","BlobStorage","3.1","2077","51"
"2022-06-26T06:00:01Z","Logs","4.77","1218","203"
"2022-06-26T06:00:01Z","AppInsights","9.26","1664","85"
"2022-06-19T06:00:01Z","AppInsights","9.36","1480","94"
"2022-06-19T06:00:01Z","CrashDumps","0.9","677","41"
"2022-06-19T06:00:01Z","EtwProviders","0.91","659","32"
"2022-06-19T06:00:01Z","BlobStorage","3.04","2127","65"
"2022-06-19T06:00:01Z","EventHub","49.54","9014","229"
"2022-06-19T06:00:01Z","Metrics","57.82","17317","3228"
"2022-06-19T06:00:01Z","Performance","60.48","18761","3330"
"2022-06-19T06:00:01Z","Logs","5.51","1855","193"
"2022-06-19T06:00:01Z","Directories","61.05","10143","753"
"2022-06-19T06:00:01Z","DiagnosticInfrastructureLogs","97.51","22551","3366"
"2022-06-19T06:00:01Z","WindowsEventLogs","98.78","22827","3446"
"2022-06-19T06:00:01Z","TableStorage","99.82","23247","3501"
"2022-06-19T06:00:01Z","DockerSources","0.06","7","2"
"2022-06-12T06:00:01Z","WindowsEventLogs","99.13","22341","3557"
"2022-06-12T06:00:01Z","DiagnosticInfrastructureLogs","97.58","22027","3478"
"2022-06-12T06:00:01Z","Performance","64.77","17958","3417"
"2022-06-12T06:00:01Z","Metrics","63.02","17172","3341"
"2022-06-12T06:00:01Z","Directories","57.03","10004","777"
"2022-06-12T06:00:01Z","EventHub","49.05","9210","228"
"2022-06-12T06:00:01Z","AppInsights","11.73","1734","90"
"2022-06-12T06:00:01Z","Logs","6.17","1285","211"
"2022-06-12T06:00:01Z","BlobStorage","3.05","2163","72"
"2022-06-12T06:00:01Z","CrashDumps","0.69","471","41"
"2022-06-12T06:00:01Z","EtwProviders","0.52","396","22"
"2022-06-12T06:00:01Z","TableStorage","99.89","22785","3608"
"2022-06-12T06:00:01Z","DockerSources","0","0","0"
"2022-06-05T06:00:01Z","EventHub","56.62","8465","237"
"2022-06-05T06:00:01Z","WindowsEventLogs","99.41","21167","3580"
"2022-06-05T06:00:01Z","DockerSources","0","0","0"
"2022-06-05T06:00:01Z","CrashDumps","0.53","421","36"
"2022-06-05T06:00:01Z","EtwProviders","0.54","424","25"
"2022-06-05T06:00:01Z","BlobStorage","2.94","2201","60"
"2022-06-05T06:00:01Z","Logs","6.53","1299","214"
"2022-06-05T06:00:01Z","AppInsights","22.21","1654","85"
"2022-06-05T06:00:01Z","Directories","63.69","9537","694"
"2022-06-05T06:00:01Z","Metrics","66.9","16651","3379"
"2022-06-05T06:00:01Z","Performance","68.3","17318","3455"
"2022-06-05T06:00:01Z","DiagnosticInfrastructureLogs","98.24","21058","3523"
"2022-06-05T06:00:01Z","TableStorage","99.89","21405","3641"
"2022-05-29T06:00:01Z","WindowsEventLogs","99.28","23066","3320"
"2022-05-29T06:00:01Z","DiagnosticInfrastructureLogs","98.18","22946","3267"
"2022-05-29T06:00:01Z","Directories","61.42","11353","705"
"2022-05-29T06:00:01Z","Performance","59.33","18195","3175"
"2022-05-29T06:00:01Z","Metrics","57.51","17077","3112"
"2022-05-29T06:00:01Z","EventHub","51.37","9350","232"
"2022-05-29T06:00:01Z","AppInsights","8.68","1207","92"
"2022-05-29T06:00:01Z","Logs","7.67","1643","182"
"2022-05-29T06:00:01Z","BlobStorage","3.42","2481","60"
"2022-05-29T06:00:01Z","CrashDumps","0.8","604","41"
"2022-05-29T06:00:01Z","EtwProviders","0.79","581","28"
"2022-05-29T06:00:01Z","DockerSources","0","0","0"
"2022-05-29T06:00:01Z","TableStorage","99.86","23426","3374"
"2022-05-22T06:00:01Z","TableStorage","99.91","23469","3499"
"2022-05-22T06:00:01Z","WindowsEventLogs","98.88","22817","3409"
"2022-05-22T06:00:01Z","DiagnosticInfrastructureLogs","97.55","22583","3342"
"2022-05-22T06:00:01Z","Directories","64.08","11359","687"
"2022-05-22T06:00:01Z","Performance","57.68","18500","3290"
"2022-05-22T06:00:01Z","Metrics","56.26","17854","3221"
"2022-05-22T06:00:01Z","EventHub","53.93","9995","224"
"2022-05-22T06:00:01Z","Logs","6.94","1263","186"
"2022-05-22T06:00:01Z","BlobStorage","4.48","3307","54"
"2022-05-22T06:00:01Z","CrashDumps","0.75","587","43"
"2022-05-22T06:00:01Z","EtwProviders","0.68","524","23"
"2022-05-22T06:00:01Z","DockerSources","0","0","0"
"2022-05-22T06:00:01Z","AppInsights","10.74","1846","80"
"2022-05-15T06:00:01Z","Directories","61.56","11405","779"
"2022-05-15T06:00:01Z","Performance","62.11","19819","3611"
"2022-05-15T06:00:01Z","DiagnosticInfrastructureLogs","97.84","24122","3676"
"2022-05-15T06:00:01Z","WindowsEventLogs","99","24359","3735"
"2022-05-15T06:00:01Z","TableStorage","99.87","24718","3796"
"2022-05-15T06:00:01Z","DockerSources","0","0","0"
"2022-05-15T06:00:01Z","CrashDumps","0.55","405","51"
"2022-05-15T06:00:01Z","BlobStorage","4.88","3669","52"
"2022-05-15T06:00:01Z","Logs","7.53","1501","218"
"2022-05-15T06:00:01Z","AppInsights","11.91","1842","87"
"2022-05-15T06:00:01Z","EventHub","52.52","9615","238"
"2022-05-15T06:00:01Z","Metrics","60.53","18922","3545"
"2022-05-15T06:00:01Z","EtwProviders","0.37","283","29"
"2022-05-08T06:00:01Z","DockerSources","0","0","0"
"2022-05-08T06:00:01Z","EtwProviders","0.34","262","25"
"2022-05-08T06:00:01Z","CrashDumps","0.4","333","43"
"2022-05-08T06:00:01Z","BlobStorage","6.14","4764","187"
"2022-05-08T06:00:01Z","Logs","11.47","1645","219"
"2022-05-08T06:00:01Z","AppInsights","13.44","1681","93"
"2022-05-08T06:00:01Z","EventHub","57.02","10054","243"
"2022-05-08T06:00:01Z","Directories","64.62","12195","911"
"2022-05-08T06:00:01Z","Performance","64.91","19954","3798"
"2022-05-08T06:00:01Z","DiagnosticInfrastructureLogs","96.56","23462","3757"
"2022-05-08T06:00:01Z","TableStorage","98.52","24048","3882"
"2022-05-08T06:00:01Z","WindowsEventLogs","99.22","24764","3950"
"2022-05-08T06:00:01Z","Metrics","62.84","18507","3613"
"2022-05-01T06:00:01Z","AppInsights","12.12","1462","88"
"2022-05-01T06:00:01Z","Logs","11.86","965","184"
"2022-05-01T06:00:01Z","BlobStorage","3.5","2953","79"
"2022-05-01T06:00:01Z","CrashDumps","0.34","303","38"
"2022-05-01T06:00:01Z","EtwProviders","0.27","223","28"
"2022-05-01T06:00:01Z","DockerSources","0","4","1"
"2022-05-01T06:00:01Z","TableStorage","99.91","27826","3395"
"2022-05-01T06:00:01Z","WindowsEventLogs","99.24","27454","3323"
"2022-05-01T06:00:01Z","DiagnosticInfrastructureLogs","91.4","21215","3206"
"2022-05-01T06:00:01Z","Directories","67.75","15508","728"
"2022-05-01T06:00:01Z","Performance","66.15","23642","3194"
"2022-05-01T06:00:01Z","Metrics","65.39","23256","3136"
"2022-05-01T06:00:01Z","EventHub","53.49","8726","229"
"2022-04-24T06:00:01Z","Logs","13.23","1009","186"
"2022-04-24T06:00:01Z","AppInsights","12.09","1692","93"
"2022-04-24T06:00:01Z","BlobStorage","2.32","1802","47"
"2022-04-24T06:00:01Z","CrashDumps","0.47","355","54"
"2022-04-24T06:00:01Z","EtwProviders","0.28","208","29"
"2022-04-24T06:00:01Z","DockerSources","0","2","1"
"2022-04-24T06:00:01Z","Metrics","63.28","17288","3533"
"2022-04-24T06:00:01Z","TableStorage","100","22199","3816"
"2022-04-24T06:00:01Z","WindowsEventLogs","99.16","21719","3743"
"2022-04-24T06:00:01Z","DiagnosticInfrastructureLogs","98.39","21630","3655"
"2022-04-24T06:00:01Z","Performance","64.21","17749","3600"
"2022-04-24T06:00:01Z","Directories","63.12","8760","706"
"2022-04-24T06:00:01Z","EventHub","57.83","8402","250"
"2022-04-17T06:00:01Z","WindowsEventLogs","99.56","20839","3289"
"2022-04-17T06:00:01Z","TableStorage","100","21113","3350"
"2022-04-17T06:00:01Z","AppInsights","21.81","1938","91"
"2022-04-17T06:00:01Z","Logs","13.32","1116","172"
"2022-04-17T06:00:01Z","BlobStorage","2.82","2135","49"
"2022-04-17T06:00:01Z","CrashDumps","0.52","368","40"
"2022-04-17T06:00:01Z","EtwProviders","0.47","319","24"
"2022-04-17T06:00:01Z","DockerSources","0","0","0"
"2022-04-17T06:00:01Z","EventHub","61.43","8465","218"
"2022-04-17T06:00:01Z","Directories","66.21","9129","681"
"2022-04-17T06:00:01Z","Metrics","70.77","16529","3125"
